Top pages,Clicks,Impressions,CTR,Position,CTR_decimal,Path,Band,Opportunity score,Recommended action
https://patristic.io/events/council-of-toledo-iii,0.0,389.0,0%,7.92,0.0,/events/council-of-toledo-iii,page 1,49.11616161616162,High-priority snippet fix: page 1 rankings but no clicks. Add a direct first-screen answer for Toledo III/Arian-bishop-count queries and fix the duplicated branded title.
https://patristic.io/bishops,2.0,184.0,1.09%,9.08,0.0109,/bishops,page 1,20.043436123348016,Retitle/snippet toward search intent: 'Apostolic succession: early bishops and sees' is clearer than 'Bishops & their sees' for non-insiders.
https://patristic.io/questions/earliest-bishops-of-rome,0.0,55.0,0%,3.62,0.0,/questions/earliest-bishops-of-rome,top 5,15.193370165745856,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/fathers/melania-the-elder,0.0,81.0,0%,5.49,0.0,/fathers/melania-the-elder,page 1,14.754098360655737,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/fathers/john-of-damascus,0.0,103.0,0%,10.75,0.0,/fathers/john-of-damascus,page 2,9.581395348837209,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/fathers/hippolytus-of-rome,0.0,163.0,0%,18.09,0.0,/fathers/hippolytus-of-rome,page 2,9.010503040353786,"Improve entity snippet: make the title/intro mention 'Apostolic Tradition', 'Roman presbyter', and the antipope complication."
https://patristic.io/fathers/basil-of-caesarea,0.0,101.0,0%,12.47,0.0,/fathers/basil-of-caesarea,page 2,8.09943865276664,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/fathers/diodore-of-tarsus,0.0,48.0,0%,7.23,0.0,/fathers/diodore-of-tarsus,page 1,6.639004149377593,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/fathers/rufinus-of-aquileia?via=episcopal,0.0,60.0,0%,9.88,0.0,/fathers/rufinus-of-aquileia?via=episcopal,page 1,6.072874493927125,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/events/novatian-schism,0.0,38.0,0%,6.84,0.0,/events/novatian-schism,page 1,5.555555555555555,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/schisms,0.0,89.0,0%,17.01,0.0,/schisms,page 2,5.232216343327454,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/fathers/germanus-of-constantinople?via=episcopal,0.0,39.0,0%,8.08,0.0,/fathers/germanus-of-constantinople?via=episcopal,page 1,4.826732673267327,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/today?d=2026-11-20,0.0,31.0,0%,6.58,0.0,/today?d=2026-11-20,page 1,4.711246200607903,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/fathers/pseudo-dionysius-the-areopagite,0.0,155.0,0%,33.1,0.0,/fathers/pseudo-dionysius-the-areopagite,striking distance,4.682779456193353,Add query-led copy for 'Corpus Areopagiticum' and Pseudo-Dionysius; the page ranks too low for broad entity searches but has specialist-intent upside.
https://patristic.io/fathers/augustine-of-hippo?via=documented_only,0.0,30.0,0%,6.7,0.0,/fathers/augustine-of-hippo?via=documented_only,page 1,4.477611940298507,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/fathers/evagrius-ponticus,0.0,110.0,0%,26.02,0.0,/fathers/evagrius-ponticus,striking distance,4.227517294388932,Content-depth candidate: add question-led sections and internal links before metadata tweaks.
https://patristic.io/fathers/rufinus-of-aquileia,0.0,27.0,0%,8.44,0.0,/fathers/rufinus-of-aquileia,page 1,3.199052132701422,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/fathers/sophronius-of-jerusalem?via=documented_only,0.0,19.0,0%,5.95,0.0,/fathers/sophronius-of-jerusalem?via=documented_only,page 1,3.1932773109243695,Low immediate priority.
https://patristic.io/fathers/lactantius,0.0,56.0,0%,17.62,0.0,/fathers/lactantius,page 2,3.1782065834279227,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/fathers/maximus-the-confessor,0.0,81.0,0%,26.1,0.0,/fathers/maximus-the-confessor,striking distance,3.103448275862069,Content-depth candidate: add question-led sections and internal links before metadata tweaks.
https://patristic.io/fathers/pope-leo-i,0.0,85.0,0%,28.08,0.0,/fathers/pope-leo-i,striking distance,3.027065527065527,Content-depth candidate: add question-led sections and internal links before metadata tweaks.
https://patristic.io/fathers/augustine-of-hippo,0.0,56.0,0%,19.43,0.0,/fathers/augustine-of-hippo,page 2,2.8821410190427175,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
https://patristic.io/fathers/ambrose-of-milan?via=documented_only,0.0,12.0,0%,4.17,0.0,/fathers/ambrose-of-milan?via=documented_only,top 5,2.8776978417266186,Low immediate priority.
https://patristic.io/,1.0,80.0,1.25%,28.77,0.0125,/,striking distance,2.745915884602016,Already earning some clicks; keep monitoring before changing.
https://patristic.io/events/acacian-schism-onset,0.0,39.0,0%,14.49,0.0,/events/acacian-schism-onset,page 2,2.691511387163561,"Good quick-win candidate: improve title, meta description, and above-the-fold answer."
